planet;position;mass
sun;POINTZ(-3.716796098974283e-06 -3.278377816863067e-05 -3.278377816863067e-05);39.47841760435743
jupiter;POINTZ(4.847339930856543 -1.1321630550460413 -1.1321630550460413);0.03769367487038949
saturn;POINTZ(8.333218184594687 4.1430349688596575 4.1430349688596575);0.011286326131968767
uranus;POINTZ(12.905190971986693 -15.102456648865521 -15.102456648865521);0.0017237240570597112
neptune;POINTZ(15.389485801827046 -25.913363875177772 -25.913363875177772);0.0020336868699246304
sun;POINTZ(-7.273518670678196e-06 -6.559687126015444e-05 -6.559687126015444e-05);39.47841760435743
jupiter;POINTZ(4.8530933863676875 -1.1039698307072512 -1.1039698307072512);0.03769367487038949
saturn;POINTZ(8.323028897305559 4.161251058561885 4.161251058561885);0.011286326131968767
uranus;POINTZ(12.916005876572566 -15.093754278259237 -15.093754278259237);0.0017237240570597112
neptune;POINTZ(15.399272267016217 -25.907409396360723 -25.907409396360723);0.0020336868699246304
sun;POINTZ(-1.0669937412370742e-05 -9.843840441014947e-05 -9.843840441014947e-05);39.47841760435743
jupiter;POINTZ(4.858691557084346 -1.0757412582837718 -1.0757412582837718);0.03769367487038949
saturn;POINTZ(8.312798893164066 4.17944673721944 4.17944673721944);0.011286326131968767
uranus;POINTZ(12.92681427085539 -15.085044294760934 -15.085044294760934);0.0017237240570597112
neptune;POINTZ(15.409056508978036 -25.901451174354236 -25.901451174354236);0.0020336868699246304
sun;POINTZ(-1.3905827292376441e-05 -0.00013130750079933367 -0.00013130750079933367);39.47841760435743
jupiter;POINTZ(4.864134196541908 -1.0474782271091316 -1.0474782271091316);0.03769367487038949
saturn;POINTZ(8.302528209195115 4.1976219088660525 4.1976219088660525);0.011286326131968767
uranus;POINTZ(12.937616149797282 -15.076326703254686 -15.076326703254686);0.0017237240570597112
neptune;POINTZ(15.418838526272372 -25.895489209976283 -25.895489209976283);0.0020336868699246304
sun;POINTZ(-1.698096856935577e-05 -0.0001642032816893775 -0.0001642032816893775);39.47841760435743
jupiter;POINTZ(4.8694210637451345 -1.0191816285403634 -1.0191816285403634);0.03769367487038949
saturn;POINTZ(8.292216882661672 4.215776477581396 4.215776477581396);0.011286326131968767
uranus;POINTZ(12.948411508363833 -15.067601508627476 -15.067601508627476);0.0017237240570597112
neptune;POINTZ(15.428618317459353 -25.8895235040454 -25.8895235040454);0.0020336868699246304
sun;POINTZ(-1.9895146811293867e-05 -0.00019712486645893758 -0.00019712486645893758);39.47841760435743
jupiter;POINTZ(4.87455192318804 -0.9908523559204618 -0.9908523559204618);0.03769367487038949
saturn;POINTZ(8.281864951064785 4.233910347491741 4.233910347491741);0.011286326131968767
uranus;POINTZ(12.95920034152411 -15.058868715769192 -15.058868715769192);0.0017237240570597112
